1.4,0.2,Iris Setosa
1.4,0.2,Iris Setosa
1.3,0.2,Iris Setosa
1.5,0.2,Iris Setosa
1.4,0.2,Iris Setosa
1.7,0.4,Iris Setosa
1.4,0.3,Iris Setosa
4.7,1.4,Iris Versicolor
4.5,1.5,Iris Versicolor
4.9,1.5,Iris Versicolor
4,1.3,Iris Versicolor
4.6,1.5,Iris Versicolor
4.5,1.3,Iris Versicolor
4.7,1.6,Iris Versicolor
3.3,1,Iris Versicolor
6,2.5,Iris Virginica
5.1,1.9,Iris Virginica
5.9,2.1,Iris Virginica
5.6,1.8,Iris Virginica
5.8,2.2,Iris Virginica
6.6,2.1,Iris Virginica
4.5,1.7,Iris Virginica
6.3,1.8,Iris Virginica
